ordinal,title,layout,length,location,country
860,Brands Hatch,Grand Prix Circuit,3915,Brands Hatch,United Kingdom
861,Brands Hatch,Indy Circuit,1944,Brands Hatch,United Kingdom
110,Circuit de Barcelona-Catalunya,Grand Prix Circuit,4657,Barcelona,Spain
111,Circuit de Barcelona-Catalunya,National Circuit,3071,Barcelona,Spain
113,Circuit de Barcelona-Catalunya,National Circuit Alt,2997,Barcelona,Spain
530,Circuit de Spa-Francorchamps,Full Circuit,7004,Spa,Belgium
840,Daytona Intl Speedway,Sports Car Circuit,5777,Daytona,United States
841,Daytona Intl Speedway,Tri-Oval Circuit,4023,Daytona,United States
1661,Eaglerock Speedway,Club Circuit,1722,Iowa,United States
1663,Eaglerock Speedway,Club Circuit Reverse,1722,Iowa,United States
1660,Eaglerock Speedway,Oval Circuit,1642,Iowa,United States
78,Fujimi Kaido,Fujimi Kaido,1648,Fujimi,Japan
83,Fujimi Kaido,Fujimi Kaido Reverse,1648,Fujimi,Japan
1630,Grand Oak Raceway,National Circuit,3734,New Hampshire,United States
1632,Grand Oak Raceway,National Circuit Reverse,3734,New Hampshire,United States
1631,Grand Oak Raceway,Club Circuit,2623,New Hampshire,United States
1640,Hakone,Grand Prix Circuit,4281,Hakone,Japan
1641,Hakone,Club Circuit,3315,Hakone,Japan
1643,Hakone,Club Circuit Reverse,3315,Hakone,Japan
250,Hockenheimring,Full Circuit,4574,Hockenheim,Germany
251,Hockenheimring,National Circuit,3692,Hockenheim,Germany
252,Hockenheimring,Short Circuit,2638,Hockenheim,Germany
1111,Homestead-Miami Speedway,Road Circuit,3556,Florida,United States
1110,Homestead-Miami Speedway,Speedway Circuit,2414,Florida,United States
231,Indianapolis Motor Speedway,The Brickyard Speedway,4023,Indianapolis,United States
232,Indianapolis Motor Speedway,Grand Prix Circuit,3925,Indianapolis,United States
1590,Kyalami Grand Prix Circuit,Grand Prix Circuit,4529,Midrand,South Africa
100,Le Mans - Circuit International de la Sarthe,Full Circuit,13626,Le Mans,France
101,Le Mans - Circuit International de la Sarthe,Old Mulsanne Circuit,13535,Le Mans,France
880,Lime Rock Park,Full Circuit,2414,Connecticut,United States
883,Lime Rock Park,Full Circuit Alt,2414,Connecticut,United States
882,Lime Rock Park,South Chicane,2366,Connecticut,United States
873,Watkins Glen International Speedway,Short Circuit,3940,New York,United States
